Unnamed: 0,Title,Poem,Poet,Tags,Primary_Tag,Random_Tag
79,"
                    Juxtaposition
                ","
throughout the years I have designed
high-end custom homes
crafting spatial poetics with vigas and latillas 
hand peeled by mojados 
whose sweat translates into profit for developers
working at a nifty rate
 
sometimes I go visit these homes
as they are being finished
 may I help you? 
I am asked by the realtor
standing at the door,
thinking that I may be the guy
who mixed the mud and pushed the wheelbarrow
 
I introduce myself as the designer
 oh, well, it’s so nice to meet you, what a wonderful job!please, come in. 
 
I was once asked by a home magazine journalist
if I felt insulted by such incidentswell, no, I said, my mind mixing for an answera good batch of cement is never accidental 
 
last year on my way up through Santa Fe
I made a detour and drove by a house of my design
the season’s first snow on the ground,
smoke rising out of the fireplace chimney
 
inch by inch
I know that house
through its X, Y, and Z axis
 
but, I cannot approach the front door
knock and expect to be invited in
to sit in the corner of my pleasing
and lounge around with the owner
as we sip on cups of hot herbal tea
making small talk about the weather
or discussing a reading
by the latest author come through
as the sun’s last light
streams in gallantly
through the window
just where I placed it
and for that reason
 
I take a handful of snow to my mouth
toss another into the air
my blessings upon the inhabitantsque Dios los bendiga y les dé más 
my grandfather would have said
 
I turn my car toward home
to my mother’s house
a place near and far to me
she, my mother, is bedridden
and my brother is the self-appointed caretaker
to bathe and feed her
bring her morsels of conversation
 
it is their own world now
 
ruled by a juxtaposition of understanding
against what I have come to know, now
here, so far and away
I am greeted at her front yard
by an old, propped up trunk hood
proclaiming my brother’s spray-painted inscription
         Jesus Saves 
on the opposite side it reads
         Keep Out! 
 I guess it just depends on what kind of day he’s having, 
someone once remarked
like a rattlesnake
it’s a fair warning
 
years ago I accepted this madness
and called it not my ownit’s better that he be drunk on Christ, said my motherthan on what he used to drink 
 
we all agreed
",Levi Romero,"Activities,Jobs & Working,Relationships,Family & Ancestors,Social Commentaries,Class,Race & Ethnicity",Activities,Activities
98,"
                    Politics
                ","
This is what he dreams of:

a map of burned land,

a mound of dirt

in the early century’s winter.

 

A map of burned land?

A country is razed

in the early century’s winter.

And God descends.

 

A country is raised

because of industry.

And God descends,

messengers rush inside

 

because of industry,

in spite of diplomats.

Messengers rush inside

to haunt the darkened aisles.

 

In spite of diplomats,

the witnesses know well

to haunt the darkened aisles,

experimentally—

 

the witnesses know well

that ushers dressed in black

experimentally

lurk by the cushioned seats.

 

That ushers dress in black

should tell you something:

lurking by the cushioned seats,

the saved and the terrible.

 

I should tell you something:

this is what he dreams of,

the saved and the terrible—

a mound of dirt.
",Randall Mann,"Activities,Jobs & Working,Social Commentaries,Crime & Punishment,History & Politics",Activities,Activities
182,"
                    How We Sizzled in the Pasture
                ","



for Kenward Elmslie



Down in the boondocks rhematic sinsigns multiply
 
                           jug jug to hungry ghosts,
                           bursting open pearly gates.
 
    “Aint no grace, aint no guilt,
          popcorn twiddle, come full tilt”
 
 
                           handy pathfinders whoop
 
                                           at no-restriction hurdles :
 
 
       Da woid ob sin aint dare at all,
       not in giggles nor reddening toes
 
                 no think blink
                 no tattle no buckle
        high dick fun at the fair.
 
Vestigial legisigns just don’t operate,
 
healty wisps entwining and buzzing,
 
hinterland busy with fresh huggermugger.
 
                                    Replica points:
                                you point your toes
                       in fact it’s toes we fluffily toss.
 
Secret moon lotion rub by reedy pool.
 
“They call me Googoo” I said, I…..
 
 
                                          All upsurge, hot tip
 
                                          green informants signify
 
                                          the trees are barking
 
                                          “cheeze it, the cops.”
 
                                          Trees tease, twinkle.
 
           That need being versed in country things:
 
                                          guiltless I milked the cow,
 
                                          slaughtered chicken,
 
                                          swam with snakes,
 
 
           unjust barefoot hobbledehoy
 
                                                                            ahoy.
 
",Gerrit Lansing,"Activities,Jobs & Working,Nature,Landscapes & Pastorals,Arts & Sciences,Language & Linguistics,Social Commentaries,Class,Town & Country Life",Activities,Activities
16,"
                    [When I stop to consider my calling]
                ","
When I stop to consider my calling, remark
the places a wayward temper impelled me
I’ve found in light of where I wandered lost
the most appalling evils could have befallen;
but when I disregard the journey it’s hard to
even fathom I endured so much affliction;
what’s more, my days being spent, I feel I’ve
seen my wariness go with them. I’ll come to
my end, for I surrendered artless to someone
with the science to dispel and destroy me if
so inclined, else the know-how to want to;
for if, with this very hand I could slaughter
myself, why—not on my account but because
so suited—would my enemy do otherwise?
…………………………………………………………………
Cuando me paro a contemplar mi estado
y a ver los pasos por do me han traído,
hallo, según por do anduve, perdido,
que la mayor mal pudiera haber llegado;
mas cuando del camino estó olvidado,
a tanto mal no sé por dó he venido;
sé que me acabo, y más he yo sentido
ver acabar conmigo mi cuidado.
Yo acabaré, que me entregué sin arte
a quien sabrá perderme y acabarme
si quisiere, y aún sabrá querello;
que, pues mi voluntad puede matarme,
la suya, que no es tanto de mi parte,
pudiendo, ¿qué hará sino hacello?
[Garcilaso de la Vega, 1501?-1536]
",Roberto Tejada,"Life Choices,Activities,Jobs & Working,Relationships,Friends & Enemies,Social Commentaries",Life Choices,Activities
117,"
                    The Worm
                ","
When the earth is turned in spring
The worms are fat as anything.
And birds come flying all around
To eat the worms right off the ground.
They like the worms just as much as I
Like bread and milk and apple pie.
And once, when I was very young,
I put a worm right on my tongue.
I didn't like the taste a bit,
And so I didn't swallow it.
But oh, it makes my Mother squirm
Because she thinks I ate that worm!
",Ralph Bergengren,"Living,Infancy,Activities,Eating & Drinking,Relationships,Family & Ancestors,Home Life,Philosophy",Living,Activities
137,"
                    ""Polly, put the kettle on,""
                ","
Polly, put the kettle on,
Polly, put the kettle on,
Polly, put the kettle on,
We'll all have tea.
Sukey, take it off again,
Sukey, take it off again,
Sukey, take it off again,
They've all gone away.
",Mother Goose,"Activities,Eating & Drinking",Activities,Activities
15,"
                    Wasps' Nest
                ","
It was the fruit I wanted, not the nest.
The nest was hanging like the richest fruit
against the sun. I took the nest
and with it came the heart, and in my hand
the kingdom and the queen, frail surfaces,
rested for a moment. Then the drones
awoke and did their painful business.
I let the city drop upon the stones.
It split to its deep palaces and combs.
It bled the insect gold,
the pupa queens like tiny eyes
wriggled from their sockets, and somewhere
the monarch cowered in a veil of wings
in passages through which at evening
the labourers had homed,
burdened with silence and the garden scents.
The secret heart was broken suddenly.
I, to whom the knowledge had been given,
who was not after knowledge but a fruit,
remember how a knot of pains
swelled my hand to a round nest;
blood throbbed in the hurt veins
as if an unseen swarm mined there.
The nest oozed bitter honey.
I swaddled my fat hand in cotton.
After a week pain gave it back to me
scarred and weakened like a shrivelled skin.
A second fruit is growing on the tree.
Identical—the droning in the leaves.
It ripens. I have another hand.
",Michael Schmidt,"Activities,Eating & Drinking,Nature,Animals,Trees & Flowers",Activities,Activities
10,"
                    It's the Little Towns I Like
                ","
It’s the little towns I like  with their little mills making ratchets  and stanchions, elastic web,  spindles, you  name it. I like them in New England,  America, particularly-providing  bad jobs good enough to live on, to live in  families even: kindergarten,  church suppers, beach umbrellas ... The towns  are real, so fragile in their loneliness  a flood could come along  (and floods have) and cut them in two,  in half. There is no mayor,  the town council’s not prepared  for this, three of the four policemen  are stranded on their roofs ... and it doesn’t stop  raining. The mountain  is so thick with water parts of it just slide  down on the heifers—soggy, suicidal— in the pastures below. It rains, it rains  in these towns and, because  there’s no other way, your father gets in a rowboat  so he can go to work.
",Thomas Lux,"Activities,Jobs & Working",Activities,Activities
187,"
                    Late Ripeness
                ","
Not soon, as late as the approach of my ninetieth year,   
I felt a door opening in me and I entered   
the clarity of early morning.   
One after another my former lives were departing,   
like ships, together with their sorrow.   
And the countries, cities, gardens, the bays of seas   
assigned to my brush came closer,   
ready now to be described better than they were before.   
I was not separated from people,   
grief and pity joined us.   
We forget—I kept saying—that we are all children of the King.   
For where we come from there is no division   
into Yes and No, into is, was, and will be.   
We were miserable, we used no more than a hundredth part   
of the gift we received for our long journey.   
Moments from yesterday and from centuries ago—   
a sword blow, the painting of eyelashes before a mirror   
of polished metal, a lethal musket shot, a caravel   
staving its hull against a reef—they dwell in us,   
waiting for a fulfillment.   
I knew, always, that I would be a worker in the vineyard,   
as are all men and women living at the same time,   
whether they are aware of it or not.   
",Czeslaw Milosz,"Living,Growing Old,Time & Brevity,Activities,Travels & Journeys",Living,Activities
163,"
                    Standing on the Bridge at Dolceacqua
                ","



My only love sprung  from my only hate!
— Romeo and Juliet, Act I, Scene v



At forty, I studied the mirror. I poked my mouth to free a trapped grain
of hamburger, and a tooth broke off  between my fingers. I felt nothing.
The dentist said: The tooth is dead. The root is dead. The X-rays show signs
of trauma to the lower jaw. What happened here?",Martín Espada,"Living,Growing Old,The Body,Youth,Love,Romantic Love,Activities,School & Learning,Relationships,Friends & Enemies,Social Commentaries,Race & Ethnicity",Living,Activities
